ide,marca,modelo,serial,activofijo,ubicacion,idesede,nitcliente,nombreequipo
1869,GENERAL ELECTRIC,ASD18DBE021,ST0910G0010,0065,QUIRÓFANO 1,,800184080-0,AIRE ACONDICIONADO
1874,NIHON KOHDEN,PVM-2701,02806,0070,QUIRÓFANO 1,,800184080-0,MONITOR DE SIGNOS VITALES
1884,ALTRONIC,TR10,12096,0080,QUIRÓFANO 1,,800184080-0,REGULADOR DE VOLTAJE
1889,PENLON,SIGMA,D03120676,0085,QUIRÓFANO 1,,800184080-0,VAPORIZADOR
1894,IRIDEX,IQ 577,IQY72169C,0090,SALA DE LASER,,800184080-0,LASER MICROPULSADO
1812,HALTEN,ANALOGO,5966,0008,SALA DE ESTERILIZACIÓN,,800184080-0,TERMOHIGROMETRO
1878,GOWLANDS,NO REGISTRA,NO REGISTRA,0074,QUIRÓFANO 1,,800184080-0,LARINGOSCOPIO
1864,TOPCON,SP-1D,Z450699,0060,EXÁMENES DIAGNÓSTICOS 2,,800184080-0,MICROSCOPIO ESPECULAR
1873,MINDRAY,WATO EX65,KT-7A001034,0069,QUIRÓFANO 1,,800184080-0,MAQUINA DE ANESTESIA
1818,WELCH ALLYN,11710,NO REGISTRA,0014,OQULA,,800184080-0,OFTALMOSCOPIO
1899,HTC2,DIGITAL,18066212217,0095,SALA DE LASER,,800184080-0,TERMOHIGROMETRO
1904,LITTMAN,CLASSIC II,I8W59937,0100,ÁREA DE PREPARACIÓN DE PACIENTES,,800184080-0,FONENDOSCOPIO
1909, WELCH ALLYN, PARED,10025177,0105,ÁREA DE PREPARACIÓN DE PACIENTES,,800184080-0,TENSIOMETRO DE PARED
1914,NIHON KOHDEN,PVM-2701,03885,0110,SALA DE RECUPERACIÓN,,800184080-0,MONITOR DE SIGNOS VITALES
1919,THOMAS,1130GL A,120200001138,0115,SALA DE RECUPERACIÓN,,800184080-0,SUCCIONADOR
1924,NO REGISTRA,DIGITAL,NO REGISTRA,0120,SERVICIO FARMACÉUTICO,,800184080-0,TERMOMETRO
1814,REICHET,11082,16761-0 ,0010,OQULA,,800184080-0,AUTOPROYECTOR
1819,WELCH ALLYN,18245/11730,NO REGISTRA,0015,OQULA,,800184080-0,RETINOSCOPIO
1829,HAAG STREIT,LM 900,32465,0025,CONSULTORIO 2,,800184080-0,LAMPARA DE HENDIDURA
1834,HAAG STREIT,AT 900,2404,0030,CONSULTORIO 2,,800184080-0,TONOMETRO DE APLANACION
1840,YEOSN,YPB 2100,13000189,0036,CONSULTORIO 3,,800184080-0,PANTALLA DE CARTILLA VISUAL
1845,TOPCON,CP-5D,251913,0041,CONSULTORIO 4,,800184080-0,AUTOPROYECTOR
1850,WELCH ALLYN,11730,NO REGISTRA,0046,CONSULTORIO 4,,800184080-0,OFTALMOSCOPIO
1860,APC,PRO700G,381508XO9727,0056,EXÁMENES DIAGNÓSTICOS 1,,800184080-0,UPS
1865,OCULAR,HR 7090,97718020,0061,EXÁMENES DIAGNÓSTICOS 2,,800184080-0,PENTACAM
1870,BRAUN,INFUSOMAT,C83818,0066,QUIRÓFANO 1,,800184080-0,BOMBA DE INFUSION
1875,MINDRAY,     114-023844-00,GEC83004854,0071,QUIRÓFANO 1,,800184080-0,MÓDULO DE GASES ANESTÉSICOS
1880,AIR IMETAN,200/4000PSI,446821,0076,QUIRÓFANO 1,,800184080-0,REGULADOR DE AIRE COMPRIMIDO
1885,OHIO,1226,JGHQ38802,0081,QUIRÓFANO 1,,800184080-0,SUCCIONADOR DE PARED
1890,SAMSUNG,AR24JRFNNWKNCB,0DU7PAJH200024X,0086,SALA DE LASER,,800184080-0,AIRE ACONDICIONADO
1895,ALCON,CONSTELLATION,1503916301X,0091,SALA DE LASER,,800184080-0,MAQUINA FACOEMULSIFICACION
1905,ACARE,FA-OS-04,1291994,0101,ÁREA DE PREPARACIÓN DE PACIENTES,,800184080-0,FLUJOMETRO
1910,LORD,DIGITAL LD - 00045,NO REGISTRA,0106,ÁREA DE PREPARACIÓN DE PACIENTES,,800184080-0,TERMOMETRO
1915,MQ,UN CUERPO,NO REGISTRA,0111,SALA DE RECUPERACIÓN,,800184080-0,NEGATOSCOPIO
1925,THERMO,TA-288,NO REGISTRA,0121,SERVICIO FARMACÉUTICO,,800184080-0,TERMOMETRO
1849,VIEWLIGHT,VLR-700,VL5479DLR7000965,0045,CONSULTORIO 4,,800184080-0,LENSOMETRO
1824,HAAG STREIT,NO REGISTRA,900.4.2.98410,0020,CONSULTORIO 1,,800184080-0,TONOMETRO DE APLANACION
1929,LUFFT,ANALOGO,NO REGISTRA,0125,SERVICIO FARMACÉUTICO,,800184080-0,TERMOHIGROMETRO
1920,LUFFT,ANALOGO,11324,0116,SALA DE RECUPERACIÓN,,800184080-0,TERMOHIGROMETRO
1855,HAAG STREIT,NO REGISTRA,900.4.2.134546,0051,CONSULTORIO 4,,800184080-0,TONOMETRO DE APLANACION
1900,UNITEC,UPS 1200,NO REGISTRA,0096,SALA DE LASER,,800184080-0,UPS
1809,MILENIO,RC-100,NO REGISTRA,0005,SALA DE ESTERILIZACIÓN,,800184080-0,CORTADORA DE TELA
1815,VIEWLIGHT,VTR-10,VL121213069,0011,OQULA,,800184080-0,FOROPTER
1820,POLY OFTAL,MEDISER,2333,0016,OQULA,,800184080-0,UNIDAD OFTALMOLOGICA
1825,CDP,R-UPR 508,160625 - 2912142,0021,CONSULTORIO 1,,800184080-0,UPS
1830,KELLER,VANTAGE PLUS,80885,0026,CONSULTORIO 2,,800184080-0,OFTALMOSCOPIO INDIRECTO
1835,RELIANCE,7800,109803CO413108,0031,CONSULTORIO 2,,800184080-0,UNIDAD OFTALMOLOGICA
1841,DRELEC,AC 035,4801,0037,CONSULTORIO 3,,800184080-0,REGULADOR DE VOLTAJE
1846,HUVITZ,MRK-3100P,3MK7C1708,0042,CONSULTORIO 4,,800184080-0,AUTOREFRACTOMETRO
1851,TOPCON,PS 12,436554,0047,CONSULTORIO 4,,800184080-0,OFTALMOSCOPIO INDIRECTO
1856,POLY OFTAL 1,MEDISER,10148,0052,CONSULTORIO 4,,800184080-0,UNIDAD OFTALMOLOGICA
1861,APC,SUA2200,A51606253606,0057,EXÁMENES DIAGNÓSTICOS 1,,800184080-0,UPS
1866,ZEISS,CIRRUS HD-OCT 4000,4000-8502,0062,EXÁMENES DIAGNÓSTICOS 2,,800184080-0,TOMOGRAFO
1871,ELLMAN,OPHTH 90,2844,0067,QUIRÓFANO 1,,800184080-0,ELECTROBISTURI OFTALMOLOGICO
1876,APRAMED,CC0608OC,8908854,0072,QUIRÓFANO 1,,800184080-0,MESA DE CIRUGIA
1881,MAGOM,EV-2000,1537901,0077,QUIRÓFANO 1,,800184080-0,REGULADOR DE VOLTAJE
1886,BIOTEMP,DIGITAL,NO REGISTRA,0082,QUIRÓFANO 1,,800184080-0,TERMOHIGROMETRO
1891,SPT,SD-65E,C105008180111B0/2401441,0087,SALA DE LASER,,800184080-0,DESHUMIDIFICADOR
1896,SCHWIND,CARRIAZO PENDULAR,CP0376,0092,SALA DE LASER,,800184080-0,MICROQUERATOMO
1901,MASTER GUARD,A2000,6A13209661,0097,SALA DE LASER,,800184080-0,UPS
1906,SAMSUNG,SR 055,131941BDC00004,0102,ÁREA DE PREPARACIÓN DE PACIENTES,,800184080-0,NEVERA
1911,GENERICO,DIGITAL,NO REGISTRA,0107,ÁREA DE PREPARACIÓN DE PACIENTES,,800184080-0,TERMOMETRO
1916,CONCOA,CGA 540,08209KRG,0112,SALA DE RECUPERACIÓN,,800184080-0,REGULADOR DE OXIGENO
1921,CDP,B-UPR505,582770020,0117,SALA DE RECUPERACIÓN,,800184080-0,UPS
1926,BIOTEMP,91000-041/B,NO REGISTRA,0122,SERVICIO FARMACÉUTICO,,800184080-0,TERMOMETRO
1810,3M,290,217097,0006,SALA DE ESTERILIZACIÓN,,800184080-0,INCUBADORA DE BIOLOGICOS
1816,TOPCON,SL-26,2862835,0012,OQULA,,800184080-0,LAMPARA DE HENDIDURA
1826,CDP,R-UPR 758,160329-3070099,0022,CONSULTORIO 1,,800184080-0,UPS
1831,WELCH ALLYN,13010,NO REGISTRA,0027,CONSULTORIO 2,,800184080-0,OFTALMOSCOPIO
1836,CDP,B - SMART 1108,130515 - 0500542,0032,CONSULTORIO 2,,800184080-0,UPS
1842,HAAG STREIT,AT 900,10311,0038,CONSULTORIO 3,,800184080-0,TONOMETRO DE APLANACION
1847,TOPCON,VT-SE,2921163,0043,CONSULTORIO 4,,800184080-0,FOROPTER
1852,VIEW,VLC-1900,L1NBFA013,0048,CONSULTORIO 4,,800184080-0,PANTALLA DE CARTILLA VISUAL
1857,QUANTEL MEDICAL,AVISO S,3593,0053,EXÁMENES DIAGNÓSTICOS 1,,800184080-0,ECOGRAFO
1862,CENTERVUE,EIDON FA,0062,0058,EXÁMENES DIAGNÓSTICOS 2,,800184080-0,ANGIOGRAFO
1867,CDP,B-SMART,111019-0530425,0063,EXÁMENES DIAGNÓSTICOS 2,,800184080-0,UPS
1877,CARL ZEISS,160 OPMI VISO,6720502275/G213404216,0073,QUIRÓFANO 1,,800184080-0,MICROSCOPIO OFTALMOLOGICO
1882,PRELEC,AC 035,4777,0078,QUIRÓFANO 1,,800184080-0,REGULADOR DE VOLTAJE
1887,APC,RS 1500,8B0845R38220,0083,QUIRÓFANO 1,,800184080-0,UPS
1892,SCHWIND,ESIRIS,E717,0088,SALA DE LASER,,800184080-0,EXCIMER LASER
1897,OPTOTEK,NO REGISTRA,83C231,0093,SALA DE LASER,,800184080-0,OPTOYAG YAG - LASER
1902,APC,BR700,3B1507X08585,0098,SALA DE LASER,,800184080-0,UPS
1907,CHOICEMED,MD300C53,133691801450,0103,ÁREA DE PREPARACIÓN DE PACIENTES,,800184080-0,PULSOXIMETRO
1912,ZOLL,PD 1400,D96E08884,0108,SALA DE RECUPERACIÓN,,800184080-0,DESFIBRILADOR
1922,GOLD STAR,PR-1315,702320113,0118,SERVICIO FARMACÉUTICO,,800184080-0,NEVERA
1927,ALLA FRANCE,91000-009/A,NO REGISTRA,0123,SERVICIO FARMACÉUTICO,,800184080-0,TERMOMETRO
1821,APEL,1200VA,T080920136,0017,OQULA,,800184080-0,UPS
1917,NO REGISTRA,NO REGISTRA,8411174,0113,SALA DE RECUPERACIÓN,,800184080-0,REGULADOR DE OXIGENO
1868,SCICAN,5000 G4,510815H00032,0064,QUIRÓFANO 1,,800184080-0,AUTOCLAVE STATIM.
1903,SECA,750 1019004,2750328102322,0099,ÁREA DE PREPARACIÓN DE PACIENTES,,800184080-0,BASCULA ADULTO/PEDIATRICA
5005,AMICO,0-15 LPM,FMO15U-A06784FB,0068,QUIROFANO 1,,800184080-0,FLUJOMETRO
5010,WELCH ALLYN,PARED,74341,0126,OQULA,,800184080-0,OFTALMOSCOPIO INDIRECTO
5452,ALPHAMED,UFR106,FJD024230,NO REGISTRA,RECEPCION,,800184080-0,TERMOMETRO INFRAROJO
5475,MEDIOR,MD-33520,NO REGISTRA,0127,OQULA,,800184080-0,TERMOMETRO INFRARROJO 
5476,TOPCON,OMS - 75,10250,0129,SALA DE LASER,,800184080-0,MICROSCOPIO DE CIRUGIA OFTALMICA
5477,AVEDRO,NO REGISTRA,KXL200707,NO REGISTRA,SALA DE LASER,,800184080-0,SISTEMA KXL - CROSSLINKING
